_Id;Amparo Legal;Ano;Descricao Infracao;Escopo Autuacao;Mes;Quantidade Autos;Uf
6407641B305A576376E6F503;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC;Excesso de Peso;DEZEMBRO;31;RS
6407641B305A576376E6F507;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;DEZEMBRO;272;SC
6407641B305A576376E6F50B;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo excedendo a CMT em até 600 kg;CMT - Capacidade Máxima de Tração;JANEIRO;1;MG
6407641B305A576376E6F50E;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo excedendo a CMT acima de 1000 kg;CMT - Capacidade Máxima de Tração;JANEIRO;4;RJ
6407641B305A576376E6F513;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;2022;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;Evasão de Balança;JANEIRO;899;MT
6407641B305A576376E6F514;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;2022;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;Evasão de Balança;JANEIRO;2022;RJ
6407641B305A576376E6F516;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - PBT/PBTC;Excesso de Peso;JANEIRO;71;ES
6407641B305A576376E6F519;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;Excesso de Peso;JANEIRO;126;GO
6407641B305A576376E6F51B;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;JANEIRO;353;GO
6407641B305A576376E6F51E;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;JANEIRO;754;MG
6407641B305A576376E6F524;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;JANEIRO;44;PR
6407641B305A576376E6F525;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;Excesso de Peso;JANEIRO;372;RJ
6407641B305A576376E6F52C;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;Excesso de Peso;JANEIRO;353;SC
6407641B305A576376E6F52F;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2022;Transitar com o veículo com excesso de peso - PBT/PBTC;Excesso de Peso;JANEIRO;103;SP
6407641B305A576376E6F33F;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo excedendo a CMT entre 601 e 1000 kg;CMT - Capacidade Máxima de Tração;JANEIRO;2;RJ
